"MALCOLM TURNBULL",2009-08-06,POLITICIAN,LIBERAL
"SARA HAGHDOOSTI",2009-08-06,OTHER,
"MITCHELL GRADY",2009-08-06,OTHER,LIBERAL
"LINDEN BROWNLEY",2009-08-06,OTHER,
"CRAIG EMERSON",2009-08-13,POLITICIAN,LABOR
"CHRISTOPHER PYNE",2009-08-13,POLITICIAN,LIBERAL
"PIERS AKERMAN",2009-08-13,JOURNALIST,
"SHARAN BURROW",2009-08-13,"UNION LEADER",
"INDIRA NAIDOO",2009-08-13,JOURNALIST,
"ANTHONY LAPAGLIA",2009-08-20,ACTOR,
"MAXINE MCKEW",2009-08-20,POLITICIAN,LABOR
"CANDY BOWERS",2009-08-20,ARTIST,
"JUDGE FELICITY HAMPEL SC",2009-08-20,OTHER,
"TONY SMITH",2009-08-20,POLITICIAN,LIBERAL
"RICHARD FLANAGAN",2009-08-27,AUTHOR,
"KAMILA SHAMSIE",2009-08-27,AUTHOR,
"TARA JUNE WINCH",2009-08-27,AUTHOR,
"LINDSAY TANNER",2009-08-27,POLITICIAN,LABOR
"TONY ABBOTT",2009-08-27,POLITICIAN,LIBERAL
"HELEN LIDDELL",2009-09-03,OTHER,
"TONY BURKE",2009-09-03,POLITICIAN,LABOR
"BILL HEFFERNAN",2009-09-03,POLITICIAN,LIBERAL
"ANNE SUMMERS",2009-09-03,AUTHOR,
"TIM WILSON",2009-09-03,OTHER,
"TOM KENEALLY",2009-09-17,AUTHOR,
"LARISSA BEHRENDT",2009-09-17,OTHER,
"JOHN ROSKAM",2009-09-17,OTHER,
"TANYA PLIBERSEK",2009-09-17,POLITICIAN,LABOR
"JOE HOCKEY",2009-09-17,POLITICIAN,LIBERAL
"GEOFF GALLOP",2009-09-10,EX-POLITICIAN,LABOR
"JOHN MARSDEN",2009-09-10,AUTHOR,
"ANTHONY ACKROYD",2009-09-10,COMIC,
"MELINDA TANKARD REIST",2009-09-10,AUTHOR,
"SOPHIE MIRABELLA",2009-09-10,POLITICIAN,LIBERAL
"ALEXANDER DOWNER",2009-09-24,EX-POLITICIAN,LIBERAL
"KATE ELLIS",2009-09-24,POLITICIAN,LABOR
"KATE ELLIS",2009-09-24,POLITICIAN,LABOR
"NATASHA STOTT DESPOJA",2009-09-24,EX-POLITICIAN,DEMOCRAT
"PETER SUTTON",2009-09-24,ACADEMIC,
"MEGAN LLOYD",2009-09-24,JOURNALIST,
"CHRISTOPHER HITCHENS",2009-10-01,AUTHOR,
"WALEED ALY",2009-10-01,ACADEMIC,
"FATHER FRANK BRENNAN",2009-10-01,CLERIC,
"SALLY WARHAFT",2009-10-01,JOURNALIST,
"ANNE HENDERSON",2009-10-01,OTHER,
"GERMAINE GREER",2009-10-08,OTHER,
"TODD SAMPSON",2009-10-08,BUSINESSPERSON,
"BELINDA NEAL",2009-10-08,POLITICIAN,LABOR
"CORY BERNARDI",2009-10-08,POLITICIAN,LIBERAL
"JANET ALBRECHTSEN",2009-10-08,JOURNALIST,
"ALEXEI SAYLE",2009-10-15,COMIC,
"ANTHONY ALBANESE",2009-10-15,POLITICIAN,LABOR
"CHRISTOPHER PYNE",2009-10-15,POLITICIAN,LIBERAL
"DEEPA GUPTA",2009-10-15,OTHER,
"NIKKI WILLIAMS",2009-10-15,BUSINESSPERSON,
"ANNABEL CRABB",2009-10-22,JOURNALIST,
"JOHN ELLIOTT",2009-10-22,BUSINESSPERSON,LIBERAL
"CRAIG EMERSON",2009-10-22,POLITICIAN,LABOR
"PETER DUTTON",2009-10-22,POLITICIAN,LIBERAL
"LOUISE ADLER",2009-10-22,BUSINESSPERSON,
"BILL SHORTEN",2009-10-29,POLITICIAN,LABOR
"TONY ABBOTT",2009-10-29,POLITICIAN,LIBERAL
"JONATHAN BIGGINS",2009-10-29,ACTOR,
"CATHERINE DEVENY",2009-10-29,JOURNALIST,
"BETTINA ARNDT",2009-10-29,OTHER,
"GRAHAM RICHARDSON",2009-11-05,EX-POLITICIAN,LABOR
"JOE HOCKEY",2009-11-05,POLITICIAN,LIBERAL
"MAXINE MCKEW",2009-11-05,POLITICIAN,LABOR
"DAVID MARR",2009-11-05,JOURNALIST,
"KERRY CHIKAROVSKI",2009-11-05,EX-POLITICIAN,LIBERAL
"KEVIN RUDD",2010-02-08,POLITICIAN,LABOR
"LINDSAY TANNER",2010-02-15,POLITICIAN,LABOR
"BARNABY JOYCE",2010-02-15,POLITICIAN,NATIONAL
"SATYAJIT DAS",2010-02-15,BUSINESSPERSON,
"MELINDA TANKARD REIST",2010-02-15,AUTHOR,
"REBECCA HUNTLEY",2010-02-15,AUTHOR,
"MALCOLM TURNBULL",2010-02-22,POLITICIAN,LIBERAL
"TANYA PLIBERSEK",2010-02-22,POLITICIAN,LABOR
"MUNGO MACCALLUM",2010-02-22,JOURNALIST,
"JOHN ROSKAM",2010-02-22,OTHER,
"JANE CARO",2010-02-22,OTHER,
"PETER GARRETT",2010-03-01,POLITICIAN,LABOR
"CHRISTOPHER PYNE",2010-03-01,POLITICIAN,LIBERAL
"PAUL GRABOWSKY",2010-03-01,MUSICIAN,
"EDDIE PERFECT",2010-03-01,ACTOR,
"BRENDA CROFT",2010-03-01,ARTIST,
"RICHARD DAWKINS",2010-03-08,SCIENTIST,
"RABBI JACQUELINE NINIO",2010-03-08,CLERIC,
"PROFESSOR PATRICK MCGORRY",2010-03-08,SCIENTIST,
"STEVE FIELDING",2010-03-08,POLITICIAN,"FAMILY FIRST"
"JULIE BISHOP",2010-03-08,POLITICIAN,LIBERAL
"MIRANDA DEVINE",2010-03-15,JOURNALIST,
"WALEED ALY",2010-03-15,ACADEMIC,
"CATHERINE DEVENY",2010-03-15,JOURNALIST,
"BILL SHORTEN",2010-03-15,POLITICIAN,LABOR
"PETER DUTTON",2010-03-15,POLITICIAN,LIBERAL
"VALERIE AMOS",2010-03-22,OTHER,
"JOHN DOYLE",2010-03-22,COMIC,
"NICOLA ROXON",2010-03-22,POLITICIAN,LABOR
"GREG HUNT",2010-03-22,POLITICIAN,LIBERAL
"TIM WILSON",2010-03-22,OTHER,
"NICK MCKIM",2010-03-29,POLITICIAN,GREENS
"GRAHAM RICHARDSON",2010-03-29,EX-POLITICIAN,LABOR
"SUE CATO",2010-03-29,BUSINESSPERSON,
"CRAIG EMERSON",2010-03-29,POLITICIAN,LABOR
"KELLY O'DWYER",2010-03-29,POLITICIAN,LIBERAL
"TONY ABBOTT",2010-04-05,POLITICIAN,LIBERAL
"JEFF BLEICH",2010-04-12,OTHER,
"JOE HOCKEY",2010-04-12,POLITICIAN,LIBERAL
"TANYA PLIBERSEK",2010-04-12,POLITICIAN,LABOR
"GREG SHERIDAN",2010-04-12,JOURNALIST,
"LUCY TURNBULL",2010-04-12,EX-POLITICIAN,LIBERAL
"SCOTT MORRISON",2010-04-19,POLITICIAN,LIBERAL
